1,2013-08-23,5,1124,"harassment;sexual;mayor;filner;san"
2,2013-08-24,2,5209,"panda;birth"
3,2013-08-24,4,13287,"francisco;mayor;emergency;san"
4,2013-08-24,2,8307,"anniversary;50th"
5,2013-08-24,2,12488,"wildfire;yosemite"
6,2013-08-24,2,3311,"website;dhs"
7,2013-08-24,2,4943,"politician;chinese"
8,2013-08-24,2,2205,"helicopter;bodies"
9,2013-08-24,2,1261,"sandusky;settle"
10,2013-08-24,2,3633,"tweet;one"
11,2013-08-24,2,7045,"xilai;china"
12,2013-08-24,4,42661,"washington;live;march;king"
13,2013-08-24,2,1705,"rape;mumbai"
14,2013-08-24,2,13444,"old;year"
15,2013-08-24,2,1383,"rebel;tunnels"
16,2013-08-24,2,2504,"says;government"
17,2013-08-24,10,59583,"weapons;chemical;damascus;attack;forces;military;cameron;syria;intervention;obama"
18,2013-08-24,3,5239,"neurotoxic;symptoms;600"
19,2013-08-24,6,17296,"luther;marchonwashington;trayvon;martin;advancingthedream;mow50"
20,2013-08-24,2,3158,"helicopter;crash"
21,2013-08-25,2,3343,"mike;tyson"
22,2013-08-25,2,7327,"attacks;iraq"
23,2013-08-25,2,5703,"light;bad"
24,2013-08-25,2,4946,"train;mexico"
25,2013-08-25,4,4684,"bus;hits;yemeni;sanaa"
26,2013-08-25,2,42233,"tonight;vmas"
27,2013-08-25,3,2568,"brisbane;campaign;launch"
28,2013-08-25,3,12108,"gang;rape;mumbai"
29,2013-08-25,2,1075,"dead;man"
30,2013-08-25,2,2762,"new;last"
31,2013-08-25,15,58166,"access;bbcpapers;says;tomorrowspaperstoday;visit;alleged;chemical;damascus;attack;doubt;syria;iran;military;syrian;intervention"
32,2013-08-25,2,11552,"ashes;england"
33,2013-08-25,2,4613,"tropical;storm"
34,2013-08-25,2,1355,"action;london"
35,2013-08-25,2,30098,"old;year"
36,2013-08-25,2,1961,"force;air"
37,2013-08-25,2,2354,"vettel;belgian"
38,2013-08-25,2,1182,"kevin;rudd"
39,2013-08-25,2,2522,"park;yosemite"
40,2013-08-25,6,4543,"yatra;ayodhya;vhp;live;coverage;leader"
41,2013-08-25,3,2738,"trial;court;mubarak"
42,2013-08-25,3,10868,"muslim;leaders;brotherhood"
43,2013-08-25,2,3118,"helicopter;shetland"
44,2013-08-25,2,16257,"cardiff;city"
45,2013-08-25,2,2215,"kill;least"
46,2013-08-26,3,102183,"vmas;mtv;best"
47,2013-08-26,2,1199,"front;page"
48,2013-08-26,11,78768,"chemical;use;says;kerry;make;live;weapons;attack;syria;john;syrian"
49,2013-08-26,2,144747,"gaga;lady"
50,2013-08-26,2,19049,"red;carpet"
51,2013-08-27,2,4572,"front;page"
52,2013-08-27,2,75723,"miley;cyrus"
53,2013-08-27,2,1741,"tornado;warning"
54,2013-08-27,2,5901,"facebook;users"
55,2013-08-27,2,13489,"york;times"
56,2013-08-27,2,9447,"house;white"
57,2013-08-27,2,3391,"week;last"
58,2013-08-27,2,3752,"bill;passed"
59,2013-08-27,3,10588,"cull;begun;badger"
60,2013-08-27,2,1230,"found;dead"
61,2013-08-27,3,2375,"new;rupee;dollar"
62,2013-08-27,29,164199,"says;hagel;ready;syrian;intervention;chemical;use;death;army;attack;france;weapons;live;strike;parliament;situation;hollande;strikes;action;external;syria;report;obama;coalition;briefing;military;chidambaram;russia;updates"
63,2013-08-27,2,2503,"hood;fort"
64,2013-08-27,3,3442,"zimmerman;florida;george"
65,2013-08-27,2,5049,"sonia;gandhi"
66,2013-08-27,2,2583,"result;thanks"
67,2013-08-28,2,3748,"rupee;dollar"
68,2013-08-28,2,3375,"website;times"
69,2013-08-28,4,34840,"king;speech;dream;martin"
70,2013-08-28,2,25237,"miley;cyrus"
71,2013-08-28,2,12704,"old;year"
72,2013-08-28,2,7593,"live;watch"
73,2013-08-28,3,4915,"fukushima;japan;level"
74,2013-08-28,2,10018,"death;hood"
75,2013-08-28,5,9078,"say;bombings;officials;baghdad;wave"
76,2013-08-28,2,4361,"hood;fort"
77,2013-08-28,16,149087,"intervention;weapons;says;would;decision;malicious;envoy;chemical;strike;attack;president;worries;syria;military;resolution;obama"
78,2013-08-28,3,12822,"new;york;fonterra"
79,2013-08-28,4,105293,"march;washington;anniversary;50th"
